spine,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33,P0,P1,P2,P3,Xbar,Ybar,State
0,0.565310836,0.522980034,-1.450255632,0.9969396,0.603264451,0.457090497,-1.376138449,0.995170236,0.623617291,0.457641244,-1.37668097,0.994904459,0.64107269,0.459642917,-1.376904607,0.994639993,0.534643054,0.457724452,-1.380126238,0.995790005,0.511415601,0.459673673,-1.380067825,0.995963871,0.492407173,0.460686982,-1.380923986,0.996726692,0.671428382,0.497767359,-0.880098045,0.993871689,0.474336147,0.488863826,-0.886850834,0.996947169,0.609567046,0.602874875,-1.260119677,0.997222662,0.5241431,0.600536883,-1.263175011,0.998458564,0.839961827,0.89432168,-0.513958335,0.959788501,0.323953509,0.878035665,-0.528041959,0.976571381,0.919731259,1.329308629,-0.500046849,0.119961791,0.200014427,1.316845775,-0.386699021,0.148180842,0.904420555,1.642225862,-1.037545562,0.015347471,0.232103854,1.629428744,-0.92480123,0.026652755,0.92266643,1.750728011,-1.190202475,0.024822114,0.227386624,1.74603796,-1.101378679,0.038190674,0.885715663,1.730486393,-1.291112661,0.038215242,0.262525737,1.720651984,-1.206822991,0.0612767,0.8666237,1.685208559,-1.102073431,0.035893425,0.275168628,1.676551104,-0.988864779,0.056258816,0.710065663,1.721832156,-0.050101064,0.000812629,0.393109351,1.706292033,0.055398725,0.000775144,0.689233661,2.412310839,-0.179515749,0.004538197,0.393656015,2.362050772,-0.326717854,0.00171246,0.690053761,3.033619165,0.427552611,0.00016051,0.40070504,2.991212368,0.099694684,9.64E-05,0.693153262,3.136467457,0.442774624,6.75E-05,0.398855805,3.09320569,0.114487156,0.000110924,0.646585941,3.217853546,-0.294783711,0.000282198,0.445861876,3.175912619,-0.675100029,0.000547516,161,247,30,51,107,-327,3
0,0.566477537,0.522844851,-1.421806693,0.997089922,0.604397476,0.456763357,-1.344024897,0.995314837,0.624477386,0.457497001,-1.344697595,0.995142281,0.641700387,0.459627092,-1.344926596,0.99482137,0.536131263,0.457172245,-1.347694755,0.995930314,0.512702227,0.45915848,-1.347435713,0.996148646,0.493495643,0.460222065,-1.348267436,0.99685055,0.671892762,0.498199403,-0.84562856,0.994122624,0.474819183,0.488881409,-0.849991798,0.99716264,0.610348344,0.602908015,-1.231479645,0.997393191,0.525103629,0.600584388,-1.234148741,0.99857235,0.841546237,0.895799756,-0.500575244,0.961664557,0.319656581,0.884477198,-0.504302859,0.978333294,0.918786883,1.334535599,-0.515481949,0.111433335,0.199064821,1.330729365,-0.408445418,0.151022151,0.903615773,1.652806401,-1.082800627,0.014533802,0.235612273,1.639334917,-0.990859509,0.027639896,0.922712326,1.764570832,-1.254109859,0.023598347,0.232966378,1.756114483,-1.180190802,0.038676705,0.884614289,1.746500134,-1.350140333,0.036487009,0.269868463,1.72828567,-1.28085494,0.062210903,0.864867389,1.699929118,-1.149824262,0.034352478,0.280806363,1.683378458,-1.057299256,0.057223845,0.713607788,1.726417422,-0.050592851,0.000765978,0.393618077,1.713627219,0.056021713,0.000740838,0.69318372,2.419817924,-0.179108456,0.00442577,0.397585362,2.372488499,-0.33948496,0.001645502,0.695751786,3.042839766,0.445589721,0.000156773,0.403867811,3.002952099,0.105677187,8.89E-05,0.698648095,3.147572994,0.460659444,6.64E-05,0.401426494,3.109424353,0.122983254,0.000102418,0.651607752,3.22947979,-0.292027265,0.000274207,0.452277511,3.184120417,-0.685271978,0.000523786,162,250,30,52,110,-330,3
0,0.565074503,0.518007457,-1.411710978,0.997514486,0.6028772,0.454484493,-1.33000493,0.995808959,0.623085082,0.455881506,-1.330646753,0.995914638,0.639632523,0.458589703,-1.330874085,0.995568514,0.534984946,0.453365028,-1.337426543,0.99624455,0.512075365,0.455743164,-1.337311506,0.996577203,0.493439347,0.45667851,-1.338175774,0.99704808,0.669071674,0.497367442,-0.826397777,0.994982243,0.473923534,0.486965179,-0.849569678,0.997392416,0.60842514,0.597558141,-1.221433401,0.997787058,0.523632705,0.595474541,-1.229427695,0.998711228,0.833177567,0.893347502,-0.483095109,0.968542278,0.316250265,0.886325657,-0.504216909,0.979387522,0.911866188,1.323022127,-0.486545801,0.103803225,0.203136995,1.327922463,-0.379008025,0.141134843,0.900207222,1.650876403,-1.028655767,0.015285932,0.227673218,1.639543056,-0.928151965,0.027242547,0.921696067,1.762008309,-1.189067602,0.024686798,0.218711883,1.755005002,-1.107019782,0.037699476,0.881498039,1.749262929,-1.291262627,0.038469922,0.255537063,1.732314229,-1.21426475,0.061542943,0.860533357,1.703974485,-1.096519709,0.036402531,0.269168615,1.687685132,-0.996288121,0.057527766,0.710805953,1.722183108,-0.047169093,0.000722986,0.392412156,1.713045001,0.052561872,0.000673658,0.695724487,2.416689396,-0.224268839,0.004133123,0.401007652,2.374294281,-0.35114944,0.001434756,0.70600009,3.038305759,0.398686349,0.000160871,0.415695906,3.000546694,0.078149229,7.20E-05,0.709286094,3.142945528,0.414541662,7.48E-05,0.413729817,3.104496002,0.092062578,8.66E-05,0.66696918,3.220919847,-0.326984674,0.00027128,0.466871411,3.177936792,-0.695871294,0.000461948,160,246,30,52,108,-324,3
0,0.565575302,0.518129885,-1.403395891,0.997495353,0.60307014,0.454440594,-1.322352886,0.995740116,0.623184204,0.455886245,-1.322987556,0.995877206,0.639667869,0.458592385,-1.323201895,0.995494545,0.535705268,0.453405112,-1.328784227,0.996183097,0.51273948,0.455649167,-1.328637242,0.996547401,0.493887484,0.456640512,-1.329495192,0.997010946,0.669125199,0.497451901,-0.821771026,0.99485302,0.474084854,0.486920685,-0.840688407,0.997383296,0.608529329,0.597566247,-1.214310884,0.997754395,0.523985207,0.595802903,-1.220956326,0.998707831,0.832958698,0.894624114,-0.479975045,0.967521012,0.315378129,0.886708975,-0.499000967,0.979245007,0.909281075,1.325342059,-0.497349918,0.095738135,0.199818492,1.32677114,-0.380866826,0.14005208,0.898846447,1.649830222,-1.04910934,0.014577637,0.228000119,1.638202548,-0.926567256,0.027612897,0.92105639,1.760794401,-1.212142348,0.023801615,0.221581534,1.75330162,-1.107267141,0.038097318,0.881982625,1.74744761,-1.310903549,0.037150621,0.259846926,1.729368567,-1.209744334,0.062324237,0.860747635,1.702133894,-1.116546154,0.035259623,0.272063911,1.68497777,-0.992798924,0.058211669,0.709271371,1.723139167,-0.047319751,0.000678572,0.390410125,1.7134341,0.052705843,0.000630367,0.6932863,2.417338848,-0.206999153,0.003939141,0.398326457,2.374619484,-0.353212148,0.001361028,0.70120436,3.038887262,0.427613169,0.000152918,0.410697311,3.000522137,0.084061794,6.57E-05,0.704238057,3.143540144,0.444742829,7.16E-05,0.408357769,3.104430437,0.099326774,8.02E-05,0.659813762,3.222299814,-0.299977243,0.000257109,0.461689472,3.177796125,-0.696517825,0.000437016,163,249,30,52,108,-330,3
0,0.569316685,0.520454228,-1.292738557,0.998042643,0.604863524,0.456249297,-1.208946943,0.99669081,0.624150455,0.457554013,-1.209583998,0.996833205,0.640451849,0.459735841,-1.209775448,0.996459484,0.539322972,0.456671834,-1.215454698,0.997003019,0.516120672,0.457909882,-1.215145111,0.997306943,0.496784985,0.458721578,-1.215945601,0.997612,0.66927278,0.498431265,-0.710580468,0.996093869,0.476023436,0.488095403,-0.732029319,0.997991979,0.610164404,0.598958015,-1.107556581,0.998220265,0.527993858,0.596883774,-1.113920331,0.99896127,0.830382466,0.900408864,-0.397915304,0.968679607,0.317728221,0.881515563,-0.418822676,0.979229093,0.895722747,1.331978679,-0.405337036,0.084155753,0.185448661,1.306566834,-0.405401468,0.127593577,0.884758651,1.65284276,-0.912449956,0.015068705,0.211754203,1.583926082,-1.103704214,0.028254697,0.905508637,1.764108777,-1.066233158,0.025685888,0.202767208,1.690631032,-1.299898386,0.04085055,0.865505815,1.747067571,-1.161737323,0.040578693,0.244722605,1.663767338,-1.388949156,0.06729582,0.844869137,1.702210784,-0.976854324,0.038455639,0.258559883,1.623142958,-1.170606136,0.062568694,0.695170522,1.71659112,-0.046684913,0.000570214,0.378537416,1.702090025,0.052172691,0.000523963,0.66735661,2.40867734,-0.137472764,0.003551616,0.37684375,2.368149281,-0.273032784,0.001171099,0.664571285,3.034615517,0.466969907,0.00014879,0.377704591,2.998025656,0.156047091,5.27E-05,0.667816699,3.139400959,0.481025547,7.09E-05,0.375201344,3.102794886,0.171019718,6.92E-05,0.614359319,3.216959715,-0.25481835,0.000229599,0.419689745,3.175746918,-0.616215706,0.000359444,166,245,30,52,101,-329,3
1,0.636111021,0.5487023,-1.273232222,0.99887979,0.667076468,0.491744548,-1.178278685,0.99763757,0.68467319,0.497843295,-1.17880547,0.997806191,0.703191996,0.504561126,-1.178956985,0.996911645,0.612988591,0.470145375,-1.208526015,0.998193741,0.58956039,0.462283462,-1.208270788,0.998663425,0.565244973,0.456232518,-1.209006548,0.998630464,0.71565485,0.541364014,-0.663807988,0.996213257,0.516049683,0.480340362,-0.796413839,0.999049544,0.65154016,0.633664548,-1.083988309,0.998651385,0.579045355,0.614109874,-1.123266339,0.999415755,0.793968081,0.924534917,-0.314676315,0.958223045,0.315934449,0.855034828,-0.539415956,0.988676548,0.864405274,1.343893409,-0.235609204,0.042160351,0.215601161,1.305046916,-0.446853697,0.143545434,0.840465724,1.63566792,-0.698689342,0.007126668,0.236640289,1.594457865,-0.924907684,0.031172642,0.852254272,1.744324207,-0.82726562,0.012488349,0.224584535,1.700625181,-1.085915327,0.043000922,0.818234921,1.725703955,-0.911677957,0.019474408,0.260127395,1.684244037,-1.185684085,0.070240237,0.801223636,1.677543402,-0.758697987,0.018636897,0.27439028,1.640954733,-0.983622372,0.064218052,0.650711656,1.702561259,-0.009559785,0.000510729,0.344874591,1.669954538,0.014396049,0.000483267,0.606909871,2.362460852,-0.105944157,0.002952762,0.334519029,2.325092077,-0.275943816,0.000974965,0.587747395,2.960827351,0.505574584,0.000192629,0.321290791,2.923582315,0.157747597,4.95E-05,0.584382117,3.062336922,0.521836877,9.79E-05,0.309647232,3.02433753,0.172382981,7.65E-05,0.545686305,3.143015623,-0.170399398,0.000278114,0.366803318,3.099464893,-0.583575785,0.000322141,156,250,28,50,116,-328,3
1,0.691332877,0.605470121,-1.223021746,0.998320758,0.719905257,0.548739433,-1.125882387,0.996887624,0.734328866,0.554924369,-1.126296163,0.996793866,0.747309446,0.560250998,-1.126423836,0.995212495,0.669611871,0.518176675,-1.174416542,0.997858882,0.648710012,0.503544748,-1.174205184,0.998473823,0.627790332,0.489814878,-1.174849868,0.99839741,0.74171567,0.580903888,-0.625804484,0.993450701,0.567882001,0.489443272,-0.847746193,0.99892801,0.690447271,0.68410933,-1.040705919,0.998160601,0.63200587,0.655955911,-1.10421443,0.999377966,0.763531029,0.927780032,-0.300239831,0.963068724,0.28991732,0.835515857,-0.615826428,0.993997514,0.840797901,1.352530241,-0.115217581,0.041833624,0.171161652,1.30837214,-0.524783134,0.192349434,0.801709831,1.618869781,-0.408412397,0.007155101,0.203478888,1.614541292,-0.921629548,0.027244272,0.80898428,1.723571181,-0.495532572,0.009683172,0.193037525,1.727892756,-1.050237417,0.033616848,0.778435886,1.704666734,-0.562126756,0.014000256,0.233736947,1.714258552,-1.136951685,0.051675208,0.763897717,1.659717798,-0.455988646,0.013274611,0.245206743,1.667406082,-0.968054295,0.045330748,0.614997029,1.701715589,-0.0025709,0.000577955,0.312545955,1.655206919,0.006654229,0.000493906,0.564508617,2.359305143,-0.027715454,0.002349651,0.296376199,2.319682598,-0.104749337,0.001237241,0.532869697,2.957705021,0.701290309,0.00019949,0.27871573,2.903328419,0.442973286,6.95E-05,0.521660507,3.058281422,0.731303692,8.37E-05,0.260754675,2.999207497,0.472247541,0.000139239,0.508955359,3.143003941,0.079168491,0.000378177,0.33392328,3.088507652,-0.264934093,0.000394259,156,252,29,50,117,-329,3
1,0.70398438,0.614274085,-1.225253701,0.997541487,0.730344176,0.558983147,-1.129225254,0.995548308,0.743107677,0.563854754,-1.129672527,0.995306313,0.755969405,0.56767267,-1.12986207,0.993196547,0.679643333,0.528564751,-1.181742907,0.997077644,0.658277154,0.513448,-1.181585073,0.997895718,0.63898623,0.499414176,-1.182260156,0.997842193,0.747997165,0.584235728,-0.622134268,0.990187824,0.579312086,0.496877968,-0.854062259,0.998619556,0.701621592,0.690687537,-1.037774801,0.997358978,0.644739151,0.663392425,-1.106136084,0.999154806,0.763858974,0.919701338,-0.269877851,0.955602229,0.297610343,0.838352978,-0.636645675,0.993397713,0.832980752,1.335827112,-0.086551651,0.036108468,0.183793515,1.314641476,-0.553606212,0.214651272,0.801230788,1.604835391,-0.429366291,0.006981807,0.21802476,1.632265568,-0.964643598,0.033579744,0.810412228,1.708171129,-0.525002122,0.009639191,0.208250761,1.747176766,-1.095040679,0.039802205,0.781737924,1.695116878,-0.592009246,0.013873347,0.249246165,1.736500263,-1.182649374,0.059990641,0.766953588,1.652903914,-0.478464603,0.013413889,0.260838956,1.688840747,-1.009758711,0.053023435,0.623625696,1.691867471,0.00918724,0.000585796,0.325841874,1.653008938,-0.005224049,0.000514925,0.576580763,2.349057198,0.024014995,0.002248433,0.310421467,2.31859374,-0.05107113,0.001173493,0.550308764,2.94503665,0.777769864,0.000206609,0.299079001,2.898127317,0.51353389,7.81E-05,0.539467573,3.043839455,0.810203195,8.47E-05,0.280038327,2.99073863,0.546404004,0.000148376,0.535922289,3.128882885,0.160789207,0.000402364,0.362810433,3.082565069,-0.189689353,0.000407173,150,250,28,50,122,-322,3
1,0.701411903,0.607026339,-1.198112965,0.997641504,0.728033841,0.55214572,-1.100822568,0.995680988,0.742169738,0.558758199,-1.101278424,0.995566785,0.755398273,0.563388288,-1.101447225,0.993435144,0.678043544,0.52161032,-1.152673006,0.997142076,0.657212257,0.508051693,-1.152586818,0.998000979,0.637932122,0.495470196,-1.153280735,0.997924566,0.748431444,0.583568633,-0.594322503,0.990225017,0.578960955,0.493710011,-0.823158443,0.998676658,0.701162338,0.684798419,-1.011708021,0.997358203,0.643188357,0.656726122,-1.07881391,0.999167144,0.76708883,0.924026608,-0.245649979,0.954564631,0.299361408,0.838691533,-0.607690096,0.993593633,0.830102921,1.348298788,-0.071864448,0.034022816,0.179416746,1.314406991,-0.519395471,0.215754911,0.796322584,1.615605712,-0.412107795,0.006852056,0.209840342,1.62910676,-0.937077701,0.035634883,0.806543708,1.720861673,-0.505168855,0.009573262,0.197088212,1.741966844,-1.072718978,0.041368615,0.773657501,1.705511451,-0.575606704,0.013910172,0.239452034,1.734725833,-1.158537745,0.062918603,0.75984931,1.660018444,-0.462221324,0.013363991,0.251483381,1.687081456,-0.982774436,0.055796381,0.622349918,1.692795396,0.006554355,0.000559307,0.324784607,1.652298093,-0.002648371,0.000506481,0.575787246,2.348076344,0.015216437,0.002245674,0.310726821,2.312964916,-0.091419108,0.001129306,0.551098645,2.944385052,0.734717488,0.00023095,0.300191581,2.894084454,0.454146922,8.00E-05,0.540867984,3.045068264,0.765274405,9.24E-05,0.279852897,2.988130093,0.484212399,0.000153283,0.53443861,3.124050856,0.121345446,0.000419494,0.36565125,3.074673176,-0.247005969,0.000420588,147,255,29,50,129,-323,3
1,0.687202632,0.574255049,-1.203557849,0.998358667,0.717373729,0.517160296,-1.110129952,0.996831059,0.733599663,0.523622453,-1.110678554,0.996963024,0.749119878,0.530535161,-1.110914469,0.995420516,0.661711276,0.492497295,-1.146752477,0.997768223,0.640439987,0.482384205,-1.146422386,0.998471975,0.619270861,0.472682804,-1.147082567,0.998371899,0.75059855,0.565036893,-0.61710602,0.993362606,0.55960834,0.482941836,-0.763176203,0.99900192,0.698651671,0.657847762,-1.022317171,0.998258114,0.632247984,0.631736517,-1.071032286,0.99942553,0.789592862,0.924851418,-0.307313591,0.971529663,0.31002593,0.835660815,-0.520373464,0.994771242,0.849670053,1.354008794,-0.207781166,0.043058567,0.18442452,1.306558251,-0.40416804,0.242116734,0.817739189,1.60996747,-0.632766306,0.0100269,0.218911022,1.596581221,-0.845564961,0.037433363,0.828874111,1.71585989,-0.75304091,0.012976649,0.209930494,1.707134366,-0.985353947,0.040024523,0.791946888,1.693422675,-0.816621959,0.019089503,0.253074497,1.689139962,-1.076119661,0.062236108,0.778351963,1.645734549,-0.682934642,0.018015411,0.263384879,1.641376734,-0.895414948,0.055577494,0.645727992,1.68418479,-0.026828324,0.000569764,0.338474154,1.641358852,0.031139687,0.00051749,0.592454314,2.333625793,-0.030576134,0.002352896,0.321596444,2.295378447,-0.045424346,0.001134281,0.561267257,2.926572561,0.683381796,0.000253564,0.304873616,2.872149706,0.506558895,7.62E-05,0.553537726,3.030623674,0.711928308,0.000103514,0.289198846,2.968027353,0.538853049,0.000153209,0.523076594,3.105031013,0.041930158,0.000381964,0.362115443,3.055788279,-0.205216482,0.000437631,152,256,29,51,126,-328,3
