spine,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
0,0.543709457,0.524400234,-0.569406509,0.999988854,0.567921579,0.459572464,-0.536506712,0.999966919,0.581813693,0.462282151,-0.536230862,0.999970257,0.593348622,0.465584785,-0.536093891,0.999964654,0.521940589,0.455261827,-0.536277652,0.999972939,0.506687105,0.456361502,-0.535784841,0.999975324,0.493239254,0.457969487,-0.535918713,0.999972463,0.613551259,0.504613221,-0.313488334,0.999961436,0.481011957,0.49694863,-0.299853086,0.999983668,0.569633007,0.599263906,-0.484793961,0.999982297,0.514014125,0.596660852,-0.480938375,0.999987602,0.733565271,0.901071906,-0.18926537,0.999300361,0.35222429,0.894420385,-0.249530822,0.999775171,0.814506173,1.322663426,-0.218500406,0.097702824,0.276146144,1.301684856,-0.294654697,0.197096139,0.773332715,1.661865115,-0.488755077,0.047953233,0.275996625,1.653923392,-0.708420634,0.141184434,0.784443021,1.783862114,-0.571771383,0.080525339,0.247128218,1.775009036,-0.801090837,0.185393199,0.741725683,1.764732838,-0.592908025,0.135275453,0.28645581,1.771280527,-0.855055034,0.27276507,0.730125606,1.716431022,-0.511049926,0.14503099,0.307179123,1.722353101,-0.747163653,0.276750863,0.658678651,1.715947509,-0.019878112,0.000697799,0.415198803,1.717422485,0.024258563,0.000899546,0.634585261,2.358615875,0.026021425,0.00024217,0.41707164,2.357915163,0.109780215,9.55E-05,0.628323972,2.937700987,0.510103583,2.09E-05,0.419659704,2.923512459,0.503523827,1.48E-06,0.629476964,3.045568466,0.535152733,2.91E-05,0.414313465,3.028712034,0.530135453,2.13E-06,0.608828664,3.123594046,0.151912272,4.51E-05,0.460254908,3.110519409,0.103499129,1.63E-05
0,0.558027208,0.499163181,-0.688156962,0.999973714,0.579238772,0.433891922,-0.642778575,0.999926686,0.591282487,0.436442226,-0.642736971,0.999943554,0.603333175,0.439153075,-0.642774999,0.999918997,0.533013463,0.429902494,-0.657625377,0.999939084,0.516982436,0.431078345,-0.657274961,0.999955714,0.502459645,0.432475269,-0.657548964,0.999941587,0.618760109,0.478505611,-0.353290468,0.999916613,0.485540628,0.474339247,-0.405003637,0.999966204,0.582401931,0.576656282,-0.578711271,0.999954343,0.529008269,0.574012756,-0.595632315,0.999971747,0.731214166,0.863916695,-0.159799725,0.999147117,0.365028709,0.870149076,-0.314472616,0.999657035,0.81859225,1.281511307,-0.144290313,0.079726473,0.285640895,1.314138055,-0.325793892,0.234661713,0.805794537,1.629567623,-0.412518114,0.022128455,0.2989766,1.644796371,-0.698401272,0.078023829,0.826947689,1.758077383,-0.489815563,0.035359908,0.27841416,1.768508077,-0.789580345,0.096739844,0.781093478,1.75858748,-0.536594331,0.062746652,0.319704473,1.774631262,-0.846998096,0.151450723,0.76729697,1.702640295,-0.446595013,0.065021619,0.331568778,1.72053802,-0.733394027,0.149002343,0.671266437,1.692803264,-0.007780869,0.00059585,0.434570253,1.705580473,0.012101726,0.000701903,0.671015322,2.338955402,-0.008224939,0.000476891,0.448104203,2.353916168,0.054992925,0.000156203,0.673684001,2.921419859,0.442427456,6.39E-05,0.465372503,2.929425001,0.35070917,7.87E-06,0.677923322,3.028242588,0.46283102,6.93E-05,0.460475624,3.039311647,0.364559829,1.47E-05,0.64495337,3.116683722,0.036683336,0.000118288,0.503780067,3.106881618,-0.091750562,4.54E-05
0,0.568836153,0.497313917,-0.663163245,0.999976277,0.588036001,0.43280983,-0.618399203,0.999941289,0.601490498,0.436026037,-0.618276954,0.999953449,0.615109503,0.439970613,-0.618140936,0.999937832,0.54767853,0.429321975,-0.626459002,0.999941349,0.531231523,0.429990262,-0.626012325,0.999953091,0.514680743,0.431587011,-0.626184642,0.999938428,0.635622323,0.483303159,-0.342659414,0.999944389,0.491777122,0.473434359,-0.369559824,0.99995482,0.591123402,0.571402133,-0.56171608,0.999967158,0.54242295,0.57075268,-0.568091512,0.999969125,0.734885812,0.873583972,-0.181026727,0.999395192,0.372319162,0.875074923,-0.308751881,0.999557436,0.812518954,1.309684038,-0.171369642,0.168687552,0.279629588,1.279940963,-0.351641476,0.18696025,0.806272507,1.655346036,-0.414141268,0.077692948,0.27949208,1.627974153,-0.70787853,0.105978504,0.832588553,1.779154062,-0.487831026,0.11114163,0.251250297,1.750338554,-0.802231669,0.142316148,0.78797853,1.779491663,-0.534563541,0.180892751,0.29472667,1.75792253,-0.851938546,0.217452481,0.771855175,1.727261186,-0.448103279,0.184298798,0.310351491,1.707337141,-0.741826713,0.218146175,0.670344353,1.720755219,-0.022329804,0.000942989,0.429049879,1.718509436,0.026412809,0.001002571,0.650095582,2.378603935,0.071962506,0.00040786,0.427625477,2.38676095,0.112612441,0.000116886,0.643934846,2.973539591,0.586182952,5.42E-05,0.431978524,2.973808765,0.463862509,5.09E-06,0.646399438,3.081533194,0.61513859,5.91E-05,0.427147567,3.084941387,0.485353857,1.27E-05,0.610968888,3.170985699,0.214540809,8.17E-05,0.464838743,3.159294605,0.03099153,3.44E-05
0,0.572842479,0.500611544,-0.553824842,0.999985099,0.591226459,0.43627581,-0.517266035,0.999963522,0.604135871,0.440231651,-0.516974568,0.999969125,0.615778625,0.445273131,-0.516890645,0.999961674,0.551771998,0.430948853,-0.520958543,0.99996531,0.535728812,0.431493223,-0.520410001,0.999969959,0.519991696,0.432846606,-0.520495117,0.999962926,0.634322882,0.48860091,-0.283268631,0.999961615,0.497925222,0.471955776,-0.287164807,0.999973714,0.592323184,0.578793645,-0.464989752,0.999976993,0.543537438,0.572848201,-0.466100514,0.999980152,0.742385328,0.862153471,-0.157847166,0.999482393,0.376411021,0.865302205,-0.242251962,0.999638677,0.83360225,1.30206871,-0.183383256,0.120106936,0.294403374,1.268665671,-0.287712604,0.149305642,0.804500878,1.642419577,-0.430734634,0.075241312,0.281350285,1.611023068,-0.681651711,0.107367851,0.821847618,1.756687045,-0.513558269,0.121980473,0.252692997,1.725460768,-0.776001751,0.153171763,0.779487431,1.743404269,-0.550782204,0.201124057,0.292110503,1.726991773,-0.832642257,0.234891787,0.764739156,1.700159192,-0.461504221,0.20318307,0.313646972,1.681123376,-0.721760392,0.233535767,0.674016654,1.699952364,-0.022819217,0.00075,0.433509439,1.697904825,0.027477766,0.000844021,0.644408286,2.355621576,0.020040792,0.000320362,0.43111673,2.353027582,0.096312121,9.21E-05,0.632556379,2.945381641,0.499941528,3.95E-05,0.423971087,2.931120872,0.450426906,2.90E-06,0.633093536,3.047592878,0.52454114,4.66E-05,0.417591333,3.033434153,0.473337889,6.12E-06,0.60901165,3.126601219,0.138928503,7.02E-05,0.457603753,3.115277052,0.043168578,2.33E-05
0,0.536346972,0.485976249,-0.519810736,0.999984503,0.55751121,0.431649655,-0.486413062,0.99995482,0.572070658,0.434855282,-0.486250311,0.999961317,0.584293425,0.438508272,-0.486185402,0.999951422,0.515688837,0.428405285,-0.491015762,0.999965072,0.502033532,0.429696947,-0.490482032,0.999970853,0.491185039,0.432210028,-0.490600973,0.999964952,0.600935102,0.483034432,-0.279722393,0.999938428,0.479800075,0.474910259,-0.277241737,0.999976695,0.566134572,0.565742552,-0.438861609,0.999966919,0.510052621,0.560505271,-0.443974555,0.999979854,0.719222248,0.862547576,-0.172010735,0.999233663,0.354496807,0.858904243,-0.240555599,0.999747217,0.804737389,1.279634833,-0.180749863,0.059059124,0.283459693,1.266765952,-0.249524474,0.162483975,0.77668345,1.622761369,-0.394961059,0.030170402,0.283922374,1.617518902,-0.614765465,0.088278785,0.794977069,1.737822175,-0.471866608,0.058618665,0.253611177,1.734708548,-0.714147091,0.131944776,0.752875268,1.728254318,-0.504283488,0.100065976,0.290853888,1.735590816,-0.794653237,0.195387051,0.738179684,1.683990598,-0.422673941,0.104365908,0.311630785,1.688121676,-0.663920581,0.19247964,0.650098324,1.673038363,-0.022906248,0.000440725,0.406434149,1.67749393,0.027730992,0.00054659,0.633834124,2.316548824,0.018151101,0.000204153,0.420188755,2.325547695,0.10428071,0.000121238,0.632290542,2.895514488,0.52063185,3.21E-05,0.424086899,2.896105289,0.486285508,4.23E-06,0.633580089,3.003942251,0.548385859,2.69E-05,0.420186847,3.00150156,0.513663828,4.13E-06,0.617254317,3.078193426,0.170376807,0.000104883,0.461132765,3.077842951,0.093800448,3.18E-05
0,0.503065705,0.484145731,-0.692350507,0.999966681,0.52564007,0.429470956,-0.647669196,0.999908984,0.540591836,0.432153195,-0.647809982,0.999939442,0.555731177,0.435419977,-0.647904992,0.999906123,0.485839695,0.42887187,-0.653957009,0.999911606,0.474870741,0.43099454,-0.653545558,0.999941409,0.465091377,0.433730096,-0.653935969,0.999909937,0.579595208,0.479689866,-0.355775356,0.999916315,0.460272849,0.477461755,-0.369061768,0.999945104,0.535376489,0.559381723,-0.580545962,0.999946058,0.483761489,0.557427526,-0.584329545,0.999952555,0.701925933,0.851357043,-0.148163065,0.999237418,0.357988387,0.860346556,-0.303726137,0.999521971,0.789699197,1.252369642,-0.156509534,0.086943977,0.293685913,1.271356583,-0.311184287,0.173685372,0.778819561,1.592051148,-0.489116669,0.035636526,0.287040532,1.603627563,-0.671233594,0.073583625,0.797806382,1.720338821,-0.574358761,0.057387218,0.260567874,1.726042986,-0.774176002,0.10134054,0.755726933,1.721942663,-0.626853108,0.10151197,0.299025595,1.747074366,-0.848671317,0.160539553,0.742717862,1.669111967,-0.526929021,0.101205461,0.314203531,1.691972375,-0.71500504,0.155999422,0.651756406,1.660022855,-0.008009792,0.000622592,0.426990896,1.664007902,0.012022299,0.000683927,0.649348915,2.293373585,-0.066323027,0.00043506,0.437602758,2.302332163,0.045521617,0.000127203,0.653548777,2.871138573,0.351898313,6.32E-05,0.448094785,2.875745296,0.310969949,7.44E-06,0.659871697,2.972858906,0.369142354,7.03E-05,0.445029795,2.981562376,0.31945163,1.59E-05,0.609106719,3.053608894,-0.072909221,0.000116725,0.48236233,3.04223299,-0.139966637,4.68E-05
0,0.552896738,0.493591785,-0.730937958,0.999958336,0.570038974,0.429261625,-0.685575604,0.999893904,0.583236814,0.431039989,-0.685585082,0.999920368,0.595895648,0.434584737,-0.685472965,0.999882281,0.52952081,0.428519577,-0.688318551,0.999893427,0.513379157,0.430499524,-0.687873363,0.999921978,0.498751163,0.433441997,-0.688113928,0.999889553,0.618536592,0.47978121,-0.381813824,0.999898136,0.48351413,0.476668775,-0.399678677,0.999924958,0.576271534,0.568229318,-0.627432168,0.999943197,0.527334809,0.566756964,-0.623420775,0.999949038,0.729703426,0.863753915,-0.183938712,0.99919349,0.380033433,0.865409076,-0.326728046,0.99936384,0.813848674,1.278403282,-0.210606769,0.182266057,0.276847571,1.265629768,-0.39286238,0.208958715,0.818748593,1.614115357,-0.547867417,0.071642347,0.27589336,1.606113672,-0.849073768,0.081765771,0.842656732,1.740227461,-0.637791216,0.091149069,0.250382572,1.728328943,-0.972618103,0.097895794,0.803608894,1.746832252,-0.701810241,0.149722084,0.29549402,1.74407208,-1.006705284,0.156797588,0.788641214,1.69394958,-0.591285586,0.149607956,0.308799833,1.692653418,-0.875415623,0.158009052,0.672572732,1.707424283,-0.02528147,0.000942469,0.438903898,1.707645893,0.029095244,0.000978836,0.661045134,2.360914707,0.097419955,0.00054759,0.439721406,2.368345737,0.143388569,0.000131897,0.663239121,2.950532436,0.646434307,8.41E-05,0.451027006,2.952180624,0.561694205,9.55E-06,0.668206215,3.055891514,0.678046227,8.59E-05,0.449163288,3.060534239,0.589462519,2.32E-05,0.6305722,3.145048618,0.25609836,0.000101393,0.48609972,3.135249853,0.105839863,4.97E-05
0,0.545448363,0.490957856,-0.723000646,0.999970794,0.56463325,0.428781182,-0.670896351,0.999921679,0.57776171,0.432360321,-0.670996308,0.999935746,0.587565124,0.436776847,-0.671120286,0.999916852,0.52013731,0.424865246,-0.689339578,0.999933004,0.505138993,0.427315176,-0.688965976,0.999946475,0.49141717,0.42985332,-0.689309478,0.999932528,0.602118373,0.479760796,-0.344877422,0.99990499,0.476186186,0.470416725,-0.41354546,0.999954879,0.572127938,0.567465305,-0.599115729,0.999946117,0.516608119,0.566137969,-0.618598521,0.999962151,0.717114687,0.856465638,-0.14113912,0.999080777,0.355691284,0.868506014,-0.345434606,0.999599576,0.792616308,1.272986174,-0.151049942,0.067727998,0.285946757,1.306734443,-0.387821704,0.164951876,0.787092388,1.612931371,-0.494344622,0.022705251,0.28381598,1.643572688,-0.808520317,0.071535625,0.808129966,1.739441752,-0.586895704,0.040769961,0.257340968,1.764579654,-0.923745275,0.099366285,0.768464804,1.741998315,-0.64587152,0.072190791,0.299852431,1.776618123,-0.989462554,0.155216843,0.753465414,1.690715313,-0.536269665,0.072373323,0.31344527,1.723832488,-0.849387348,0.15074791,0.659331441,1.689045668,-0.000599103,0.00051306,0.421294868,1.695997596,0.005130235,0.000584488,0.656675696,2.340845346,0.037115824,0.000410127,0.439949453,2.350632906,0.06258326,0.000135804,0.668934822,2.928628206,0.54348892,5.42E-05,0.461571842,2.929359913,0.4191733,6.23E-06,0.675747454,3.032469988,0.569373965,5.57E-05,0.459233284,3.035627842,0.438024759,1.12E-05,0.638136387,3.11567688,0.133134037,0.000100997,0.498996586,3.103208303,-0.035881121,3.72E-05
0,0.574161768,0.499687195,-0.528906167,0.999984324,0.593107939,0.433515519,-0.496269941,0.999958336,0.607112169,0.437869042,-0.495903403,0.999966562,0.620022357,0.443749666,-0.495773882,0.999955595,0.552932978,0.428288817,-0.496532977,0.999959111,0.53706944,0.429664135,-0.496014893,0.999966621,0.52160722,0.432046682,-0.496105134,0.999956012,0.64359653,0.490136206,-0.280075848,0.999957442,0.502461672,0.472621888,-0.271958053,0.99996984,0.59568727,0.581808627,-0.447253525,0.999975264,0.546622872,0.574856818,-0.444344431,0.999977827,0.756366134,0.888733566,-0.148721009,0.999385118,0.383135587,0.880184829,-0.230145693,0.999623418,0.831869245,1.337577701,-0.161133021,0.140115663,0.294353783,1.270414829,-0.282219231,0.152472541,0.810818076,1.680476546,-0.403393328,0.078797124,0.279172242,1.630530477,-0.730738938,0.108544402,0.82262677,1.801369071,-0.48195833,0.119398318,0.245365426,1.752075195,-0.832608581,0.152755737,0.783882439,1.788000464,-0.522203982,0.192696944,0.2876513,1.748880982,-0.878425956,0.2286852,0.771206021,1.741631269,-0.434514821,0.19667381,0.308366865,1.701304674,-0.76900804,0.22917226,0.676832557,1.738308191,-0.019610709,0.000820096,0.431468487,1.725295544,0.024349788,0.000907561,0.646855295,2.399810553,0.014563759,0.000267074,0.426855415,2.389682055,0.110216059,9.03E-05,0.636819422,2.998986483,0.502967477,3.08E-05,0.419020832,2.976158381,0.509733319,2.92E-06,0.634803891,3.107112885,0.527599096,3.54E-05,0.411592096,3.078122616,0.535968184,5.63E-06,0.619341433,3.18708539,0.137336284,5.71E-05,0.455470651,3.169053078,0.095140114,2.31E-05
1,0.660414815,0.502326906,-0.549419403,0.999956489,0.682633221,0.436963141,-0.512078404,0.999896526,0.698794305,0.442374766,-0.511766076,0.999903262,0.712189317,0.448589355,-0.511741459,0.999889851,0.63765347,0.429220408,-0.530584812,0.99991852,0.620332897,0.428182602,-0.530116975,0.999924898,0.602427244,0.42770955,-0.530275762,0.999921262,0.722321749,0.487811148,-0.269227684,0.999855518,0.570002139,0.462748587,-0.356126875,0.999953628,0.681025386,0.58250761,-0.45559454,0.999929965,0.631954551,0.578284621,-0.477562129,0.999962509,0.790415585,0.875127256,-0.120038211,0.998756945,0.423693955,0.806621909,-0.292807698,0.999542356,0.821265876,1.326166153,-0.063939124,0.065500945,0.29798609,1.231071711,-0.226941615,0.193256736,0.800537467,1.656058192,-0.287536055,0.032145206,0.309538513,1.594772816,-0.418457687,0.104018107,0.818012536,1.768141866,-0.357371509,0.060787365,0.285830438,1.708491564,-0.481896162,0.14222087,0.782351613,1.753068686,-0.40067035,0.104160458,0.324571788,1.705302238,-0.527043045,0.213554054,0.767004192,1.709891796,-0.321124762,0.109207056,0.342351437,1.660912633,-0.445615232,0.210468054,0.674706042,1.691715717,0.004517212,0.000655529,0.437604666,1.673988223,-0.000661638,0.000787528,0.632871747,2.356357574,0.038638383,0.000352791,0.425338984,2.345748663,-0.007922439,0.000135046,0.608581483,2.953202248,0.50522095,4.52E-05,0.401256084,2.92473793,0.308124542,3.31E-06,0.603969455,3.050912857,0.529268026,4.68E-05,0.390077293,3.018198967,0.328144401,3.71E-06,0.590703845,3.144916773,0.169609874,9.35E-05,0.435876995,3.117650032,-0.115816273,2.44E-05
