class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
1,0.574625194,0.645155311,-2.716616392,0.999971151,0.613431573,0.541128099,-2.666489601,0.999927759,0.639249325,0.540640116,-2.666275978,0.999934375,0.663951993,0.541859388,-2.666528463,0.999909341,0.532524586,0.539138138,-2.691268444,0.999928653,0.494947731,0.536618948,-2.690538883,0.999936461,0.463063657,0.534700215,-2.690611362,0.999919891,0.695390165,0.560167372,-2.039039135,0.999920845,0.409405559,0.540638983,-2.121308804,0.999955058,0.614490271,0.737379909,-2.451602221,0.999959826,0.514353275,0.742452025,-2.478497505,0.999965131,0.84373492,0.930335104,-1.423426151,0.998936474,0.215217307,0.909537554,-1.495105863,0.998973727,1.005766988,1.379912615,-1.27551198,0.195593596,0.078218654,1.468681812,-1.193513274,0.335768491,0.971464455,1.797840834,-1.741796136,0.040698521,0.081947111,1.869080663,-1.614083529,0.059491988,1.000774145,1.942534804,-1.881779432,0.037785366,0.052538384,2.014886856,-1.744667292,0.064141609,0.938490212,1.941439748,-1.957010508,0.064573415,0.104262903,1.986222982,-1.867274523,0.106161371,0.911353707,1.889603972,-1.791369796,0.070336804,0.128497183,1.932409644,-1.674221992,0.102917701,0.73560673,1.796611428,-0.088096187,0.000377657,0.331413299,1.79758513,0.095113501,0.000341268,0.710590065,2.567768574,-0.113467835,0.000267838,0.351624191,2.558413744,0.009117432,0.000119769,0.709774375,3.224445343,0.991559505,1.50E-05,0.3646231,3.209082842,0.87812984,1.90E-06,0.718176663,3.347530365,1.043428063,1.26E-05,0.361482173,3.332499981,0.935618103,4.83E-06,0.643912911,3.477566719,0.135438293,2.46E-05,0.433251232,3.463732243,-0.039227962,2.32E-05
0,0.553469658,0.50952822,-0.966765761,0.999765277,0.57897085,0.449092895,-0.893713355,0.999414027,0.593507946,0.450831026,-0.893680573,0.999504328,0.611414909,0.453011662,-0.894035459,0.999361277,0.527647316,0.444620997,-0.916460395,0.999502063,0.506161809,0.444330633,-0.915596604,0.999610066,0.485934496,0.445226401,-0.915893435,0.99952811,0.629226744,0.475128651,-0.438993305,0.999207139,0.454993427,0.466983467,-0.517400563,0.999639153,0.578615308,0.576374769,-0.79924953,0.999711871,0.514640093,0.574111044,-0.822672486,0.999772489,0.745233297,0.819061637,-0.158499941,0.997877181,0.303292841,0.803123534,-0.380173564,0.998797894,0.802874386,1.203009844,-0.040616781,0.116710439,0.216935039,1.209760547,-0.264791489,0.41105929,0.828983963,1.536265254,-0.416259944,0.027760552,0.223855406,1.555688262,-0.608665228,0.118476644,0.86423701,1.644652843,-0.517661095,0.039658844,0.188918546,1.664899111,-0.723556399,0.118599452,0.829464078,1.655033469,-0.607082784,0.064733014,0.2307944,1.681633711,-0.822847962,0.171664372,0.807529092,1.612721324,-0.477612257,0.064689361,0.249881819,1.636199594,-0.663125813,0.166704282,0.658991933,1.588771224,-0.038434118,0.000506482,0.36705333,1.590961218,0.043251656,0.000562946,0.647520721,2.261511803,-0.08561828,0.000228411,0.385417789,2.264863253,0.021698473,0.000114916,0.649193525,2.882828951,0.540423274,0.000121983,0.392779768,2.885513544,0.442151397,1.26E-05,0.653485179,2.978223085,0.566869855,0.000133416,0.38526684,2.984532595,0.464897782,4.42E-05,0.617736995,3.058360815,-0.054904886,0.000131369,0.43387121,3.050860167,-0.24457936,8.98E-05
0,0.558946729,0.515051365,-0.976771057,0.999932528,0.586876392,0.458080351,-0.891555667,0.999863267,0.602351725,0.459790617,-0.89173162,0.999871194,0.619496226,0.462566227,-0.892098427,0.99984628,0.534753978,0.455557346,-0.904957116,0.999879599,0.514768004,0.455896229,-0.904228091,0.999896467,0.495989144,0.457460403,-0.904525936,0.999884665,0.637201667,0.49319604,-0.410024017,0.999821424,0.469494164,0.488791466,-0.460972369,0.999905348,0.58368814,0.586220741,-0.807064712,0.99990195,0.52115047,0.585841775,-0.821310818,0.999918044,0.744071305,0.845812798,-0.142900646,0.998020411,0.326349825,0.820609331,-0.297953218,0.999165475,0.79124403,1.242824912,-0.042722397,0.135445595,0.216223806,1.191498876,-0.516449749,0.329271019,0.829963684,1.563077569,-0.424535185,0.049470872,0.134677768,1.198926926,-1.273986816,0.276340872,0.862141252,1.667305112,-0.520297825,0.082994096,0.085797928,1.229794145,-1.450716972,0.320206165,0.831824183,1.663751841,-0.602957428,0.129049093,0.126531839,1.240710378,-1.557554841,0.394388616,0.810466409,1.629062653,-0.505551159,0.129128441,0.154094845,1.220693827,-1.342865705,0.383632064,0.654372096,1.581155539,-0.032964014,0.001075387,0.37390238,1.572657228,0.037040848,0.001278347,0.625974238,2.259732008,-0.171601415,0.00058565,0.366092235,2.248882055,-0.058049869,0.000299642,0.619857192,2.891613722,0.370147288,0.000176955,0.363792628,2.884010315,0.23987858,2.08E-05,0.62331295,2.983070612,0.385370076,0.000144461,0.357387692,2.974870205,0.24525106,4.03E-05,0.586971402,3.06170392,-0.275545716,0.000145586,0.394350171,3.058755636,-0.485377729,9.60E-05
0,0.514701664,0.311330616,-1.469513416,0.999942899,0.542640388,0.250291735,-1.378309965,0.999843001,0.562115848,0.251408458,-1.378601789,0.999881506,0.578619838,0.253322572,-1.378839612,0.999829292,0.479240894,0.251285732,-1.392518878,0.999835253,0.452617973,0.253975511,-1.391934395,0.999875546,0.430641413,0.256931812,-1.392437696,0.999835789,0.603578448,0.296976447,-0.835820973,0.999794066,0.399230897,0.296138674,-0.88088429,0.999881744,0.546306729,0.398052782,-1.269863605,0.999934316,0.467531592,0.402337044,-1.283543587,0.999941587,0.762135267,0.741428018,-0.504046798,0.998844743,0.2230452,0.726528466,-0.643347561,0.999155879,0.844176471,1.230631351,-0.460897446,0.15680778,0.111512825,1.243376851,-0.527851462,0.33759433,0.858457386,1.585849524,-1.047294497,0.028397353,0.139834002,1.606434703,-1.041627169,0.072686546,0.900825143,1.715316772,-1.217568517,0.032751568,0.117567018,1.730428696,-1.209253192,0.06591212,0.842134953,1.720583439,-1.319661617,0.059571967,0.166419312,1.740970492,-1.343280196,0.108016215,0.818770885,1.662947297,-1.118645906,0.059644341,0.180735514,1.686788559,-1.116174817,0.110730775,0.671125531,1.626098514,-0.058425091,0.000686873,0.323742032,1.636625051,0.064606421,0.000656044,0.65601033,2.335589647,0.125871003,0.000524941,0.338787854,2.343557596,0.164054304,0.000211991,0.654574275,2.960297823,1.035241961,0.00011227,0.351245016,2.978005409,0.899050117,1.64E-05,0.660531342,3.079620361,1.080972195,8.55E-05,0.347701788,3.100251913,0.945547283,4.33E-05,0.609823585,3.15681529,0.327033818,0.000114079,0.404453695,3.163378954,0.124592975,0.000102953
0,0.549251914,0.420117319,-1.490884662,0.999927044,0.575709403,0.350067616,-1.412757039,0.999788702,0.590430737,0.351518959,-1.413012266,0.999831021,0.608738303,0.354481697,-1.413283944,0.999753833,0.515556455,0.353108823,-1.426075578,0.999795973,0.492925584,0.355737865,-1.425595164,0.999848604,0.4741036,0.358147502,-1.426098824,0.999803364,0.63366878,0.392395824,-0.885453224,0.999722898,0.444263756,0.393204093,-0.923817515,0.999858737,0.5844208,0.497476399,-1.292185545,0.999909222,0.50764513,0.498189956,-1.302848697,0.9999277,0.799121261,0.78126657,-0.517552733,0.998512805,0.288865983,0.790665627,-0.664796472,0.99856627,0.939799666,1.150648475,-0.503518581,0.193009824,0.193867654,1.275562763,-0.574976563,0.278708786,1.004593611,1.56853056,-1.109300733,0.034617856,0.19857344,1.609185338,-1.091250539,0.079221912,1.053686857,1.694619417,-1.281318903,0.041861586,0.174545199,1.727398634,-1.255038977,0.078031011,1.00319159,1.711927891,-1.387578964,0.076484628,0.218377382,1.7347579,-1.397691965,0.128611565,0.972647846,1.661760211,-1.183141708,0.072501771,0.236162111,1.686194539,-1.167782664,0.124545678,0.721656561,1.640966892,-0.066153899,0.000437868,0.394315273,1.658083081,0.071388908,0.000406174,0.708888769,2.34261775,0.098805204,0.001005428,0.410466045,2.361419916,0.154146582,0.000285696,0.711983323,2.964907408,0.948765635,0.000248191,0.417837471,2.986635685,0.833102524,2.47E-05,0.718645096,3.075152397,0.989041686,0.00016662,0.413605869,3.098893166,0.875308394,5.70E-05,0.667522907,3.157623053,0.256376505,0.000210352,0.466680378,3.170505047,0.075117044,0.000139885
1,0.537766695,0.462969184,-1.919308424,0.999924183,0.579951167,0.358658582,-1.850384712,0.999786437,0.604059815,0.355481744,-1.850578904,0.999824047,0.626461923,0.353720278,-1.850903869,0.999753475,0.486303896,0.363845825,-1.859699845,0.999776959,0.454343408,0.363974273,-1.858777761,0.999812901,0.433911324,0.364631236,-1.859124422,0.999772608,0.667324901,0.376037389,-1.276055574,0.999774516,0.390398741,0.390282512,-1.285579801,0.99986428,0.586952925,0.552522957,-1.688413262,0.999922991,0.48410517,0.564287126,-1.692835808,0.999939978,0.852983296,0.783228755,-0.828594387,0.998591125,0.213959023,0.789679408,-0.868741333,0.998325825,0.991366684,1.294809103,-0.752400458,0.177299768,0.08547271,1.358071923,-0.661628723,0.321035206,0.974182427,1.711733699,-1.275151014,0.032780319,0.099186771,1.76956594,-1.208292127,0.067283824,1.00907433,1.862655163,-1.454439998,0.035617098,0.071452484,1.919379473,-1.386747599,0.063291997,0.936559856,1.861716032,-1.545748949,0.06539993,0.12727271,1.907026172,-1.52948308,0.110122338,0.911672711,1.800852656,-1.339452505,0.066415124,0.149316132,1.847248673,-1.28973794,0.107353047,0.739722848,1.727460384,-0.083134189,0.000342828,0.342181116,1.736813068,0.091393493,0.000305755,0.730362833,2.508063078,0.014255634,0.000762131,0.363145411,2.505229235,-9.48E-05,0.000217724,0.724648118,3.177783012,1.093660116,8.78E-05,0.370031893,3.180733442,0.940330207,1.03E-05,0.734774709,3.307895899,1.156161547,6.01E-05,0.36803025,3.314650774,1.004654288,2.27E-05,0.655510664,3.420799255,0.291146636,8.81E-05,0.431579441,3.422243357,-0.007664656,7.27E-05
1,0.521009505,0.483275443,-1.729316473,0.999927223,0.563916206,0.382078975,-1.659375548,0.999812543,0.590612292,0.377782524,-1.659607172,0.999835789,0.614284813,0.374037564,-1.65996933,0.999782145,0.466054529,0.38992846,-1.667435884,0.999809384,0.435988277,0.391525596,-1.66635704,0.999832451,0.416553974,0.394051939,-1.666724563,0.999812245,0.653836787,0.384304523,-1.090667725,0.999810576,0.377025306,0.409754097,-1.092326999,0.999891043,0.577962041,0.570906103,-1.500668287,0.999929905,0.470191568,0.589779079,-1.503898501,0.999944508,0.849442303,0.787427187,-0.656241179,0.998587847,0.210347384,0.803221345,-0.743723691,0.998782873,0.993271708,1.296202898,-0.606129289,0.119016171,0.089277744,1.377265573,-0.599707961,0.340616882,1.002600789,1.726333499,-1.196424365,0.023514666,0.097207427,1.816496015,-1.166597605,0.06150829,1.050834656,1.874459505,-1.383157015,0.027596366,0.064180538,1.966734648,-1.349496126,0.059732009,0.984279037,1.881169915,-1.4873842,0.051776893,0.123260319,1.964480519,-1.506892562,0.106674902,0.953220844,1.824575305,-1.271423578,0.053093947,0.14854601,1.904704571,-1.252384543,0.10148821,0.73556751,1.772520542,-0.090023726,0.000211451,0.351650417,1.786155462,0.097559221,0.000182506,0.724728823,2.569317579,-0.02598541,0.000549406,0.367062896,2.5820086,0.151089624,0.000185705,0.731265068,3.278369188,0.91837883,4.51E-05,0.391578048,3.289323092,0.846967816,5.24E-06,0.743003607,3.405649662,0.962934136,2.93E-05,0.390967309,3.416437626,0.892839551,1.36E-05,0.669274747,3.512212276,0.104763888,5.23E-05,0.451515526,3.521003962,-0.025924599,5.13E-05
0,0.539309859,0.450879544,-1.155175447,0.999519885,0.568666875,0.380600452,-1.078055143,0.998998523,0.585071266,0.380943477,-1.078244448,0.999057472,0.60013926,0.380678266,-1.078823805,0.998946011,0.507027924,0.381661475,-1.091264606,0.999079823,0.485955,0.383189708,-1.090704679,0.999231815,0.468735456,0.384569526,-1.091044903,0.999206901,0.628073394,0.402488261,-0.592599809,0.998797357,0.439082384,0.411983311,-0.632350504,0.999258041,0.577758908,0.523158371,-0.975651622,0.999519825,0.504470229,0.525801778,-0.986880898,0.999606013,0.789287686,0.750349879,-0.272597969,0.997015476,0.309287637,0.773559213,-0.417275488,0.997096658,0.91352427,1.009942651,-0.234754473,0.197677657,0.212801784,1.188263774,-0.494317144,0.306710184,1.025952101,1.475208759,-0.699569702,0.02661095,0.293863118,1.552589297,-1.101708889,0.055196475,1.082716703,1.587746501,-0.833701253,0.035349876,0.291256458,1.663274527,-1.274065137,0.060581882,1.034252405,1.610976338,-0.934423566,0.061506934,0.339721531,1.656484604,-1.38295579,0.098193727,1.000598192,1.574041128,-0.768115699,0.057507534,0.348264366,1.613711476,-1.164922833,0.091458954,0.704817116,1.621404171,-0.047542743,0.000849,0.400393903,1.634756446,0.052572895,0.000709159,0.716326296,2.365169287,-0.255474895,0.00214049,0.426179707,2.382292509,-0.101587638,0.000799973,0.736216128,3.053947449,0.273335129,0.000408361,0.446210474,3.068403006,0.15218316,5.11E-05,0.748994708,3.161628246,0.28422448,0.000329528,0.443401664,3.175240993,0.147890121,0.000158091,0.685972333,3.245122194,-0.438160181,0.000247943,0.481503725,3.265214443,-0.61822331,0.000166191
1,0.542655528,0.566369295,-1.812024832,0.999911666,0.577504098,0.468208194,-1.772007227,0.999773026,0.598464608,0.466033787,-1.771812677,0.99980092,0.619832218,0.464666635,-1.772180319,0.999739945,0.493865311,0.468818188,-1.780315757,0.999798954,0.464402497,0.46701774,-1.779322267,0.999841332,0.440775722,0.464754432,-1.779454589,0.99981457,0.654789031,0.46650508,-1.250850201,0.999730229,0.410380363,0.463173866,-1.260742426,0.999863923,0.585181952,0.643207133,-1.593182325,0.999892116,0.490966171,0.659255385,-1.595574379,0.999917209,0.822972417,0.799698293,-0.755472839,0.999088943,0.238626331,0.821834564,-0.888122082,0.999427795,0.97889632,1.25060606,-0.552601933,0.21535635,0.140441075,1.34545815,-0.661643863,0.39250192,1.00409925,1.673538327,-0.939002514,0.02815241,0.13599284,1.777413011,-1.107286096,0.07570044,1.054057121,1.814278364,-1.068096995,0.03068554,0.099201582,1.918951511,-1.24757874,0.073123746,0.99394834,1.832783103,-1.168053746,0.058518562,0.154575139,1.930829406,-1.396519065,0.125848353,0.963546872,1.778124332,-1.002985358,0.057178982,0.180785403,1.872757435,-1.183053374,0.115083277,0.736555338,1.721483946,-0.088410437,0.00028284,0.368726969,1.733840108,0.094741121,0.000246174,0.731636763,2.483489513,0.032815762,0.000591897,0.388479322,2.501802683,0.317688823,0.000191813,0.738072097,3.159097433,0.914570034,9.90E-05,0.421256721,3.166964769,1.007927537,9.84E-06,0.749065876,3.276502848,0.962040603,7.85E-05,0.422234148,3.279938936,1.054646134,3.03E-05,0.678239048,3.385082483,0.187723085,8.75E-05,0.482416391,3.392721653,0.219380587,5.03E-05
1,0.540198922,0.48503539,-1.278961778,0.999912322,0.569675207,0.393339932,-1.198701501,0.999779046,0.590393305,0.391812772,-1.198696971,0.999813795,0.611269236,0.392441362,-1.198941827,0.999767005,0.499460787,0.397333473,-1.215524435,0.999796033,0.471808761,0.39922604,-1.214335442,0.999836802,0.448182434,0.40274927,-1.214441061,0.999812007,0.642595232,0.422720283,-0.693333566,0.999754131,0.413793564,0.436124325,-0.741302252,0.99985677,0.578587174,0.569073617,-1.086286306,0.999883533,0.493193239,0.580018103,-1.100800514,0.999912441,0.824283957,0.814691901,-0.362637192,0.998979509,0.233375669,0.83523488,-0.516060114,0.99892211,0.968365669,1.261438489,-0.336306185,0.146665812,0.136397928,1.374596119,-0.385151446,0.291096956,0.990502357,1.671630979,-0.854894459,0.035808083,0.146064743,1.766816258,-0.896341205,0.068962127,1.048003435,1.807979584,-1.001414299,0.040319998,0.109714106,1.893116236,-1.050835729,0.069757029,0.974503696,1.828770518,-1.075114608,0.075802818,0.168666527,1.901077867,-1.174317002,0.124326855,0.943148911,1.773613334,-0.916369736,0.07640373,0.190247372,1.843377829,-0.968980014,0.115856163,0.73603195,1.740474224,-0.058666151,0.000300183,0.36379528,1.758506894,0.066260189,0.000222566,0.721247852,2.488741875,-0.01344766,0.000404543,0.382601559,2.504174709,0.171679944,0.000127223,0.730985761,3.155077934,0.820304692,4.52E-05,0.409610033,3.157665491,0.782196403,4.52E-06,0.741511643,3.283991814,0.861828983,3.92E-05,0.407491207,3.280534029,0.819316983,1.19E-05,0.678596437,3.359065533,0.104129888,5.95E-05,0.477530152,3.365616322,0.017860642,3.64E-05
