shol,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
0,0.529603422,0.561145425,-0.514028788,0.999973416,0.548110604,0.508904159,-0.477052361,0.999930799,0.559384644,0.511439145,-0.476822615,0.99993825,0.56964165,0.514986932,-0.476807117,0.999928892,0.511209965,0.505374491,-0.489277065,0.999946594,0.495284319,0.505818188,-0.488687098,0.999952555,0.481568635,0.507648647,-0.488799661,0.999949574,0.585034728,0.552008331,-0.262602419,0.999901235,0.460755169,0.53961277,-0.302924573,0.999958992,0.547189116,0.627108335,-0.431848615,0.999946654,0.499265909,0.624254465,-0.445066869,0.999968052,0.663547814,0.88235414,-0.147571355,0.998671174,0.352106392,0.876785338,-0.242968157,0.999565065,0.729619384,1.251467347,-0.0717683136,0.054030519,0.269559503,1.235422611,-0.157239869,0.150824189,0.718870103,1.556625843,-0.179263234,0.0147978747,0.299732149,1.540388823,-0.294398785,0.0359711573,0.738782823,1.653739572,-0.224165723,0.0276319552,0.285675198,1.641075969,-0.339430124,0.0505237319,0.706020117,1.654979467,-0.249043614,0.0473643951,0.315576315,1.640700459,-0.388582051,0.0809282362,0.692304969,1.615335941,-0.200291708,0.0487174317,0.326268435,1.599332213,-0.321888149,0.0800081864,0.606106997,1.59352684,-0.0127987415,0.000308404153,0.397090554,1.595124006,0.0161835328,0.000342477579,0.59025228,2.160395145,-0.0259599537,0.000172878848,0.406348884,2.166612148,0.0439296551,7.20E-05,0.580232382,2.680154324,0.346872509,3.53E-05,0.396656156,2.677469254,0.335055411,2.63E-06,0.579344869,2.766322613,0.361808807,3.75E-05,0.390434533,2.767228842,0.352491558,4.63E-06,0.561809897,2.842797518,0.00323066628,8.20E-05,0.422072113,2.824834824,-0.0335195735,2.95E-05
1,0.487129152,0.549458981,-0.489963293,0.999936879,0.505937457,0.495354295,-0.463814795,0.999827981,0.519187808,0.496815413,-0.463651091,0.999866843,0.528898835,0.500128269,-0.463672966,0.999840915,0.466407686,0.496541262,-0.46430397,0.999834597,0.453451097,0.49970746,-0.463610828,0.999858737,0.442672968,0.502739489,-0.463706911,0.999823987,0.546101987,0.534240544,-0.266600817,0.999835134,0.431558937,0.536173642,-0.25275749,0.99984169,0.514258265,0.612337887,-0.413121521,0.999893844,0.463419825,0.61279881,-0.409794897,0.999891996,0.655467153,0.810649097,-0.17829141,0.99899435,0.339985132,0.903245687,-0.185008824,0.998930156,0.728559852,1.18979311,-0.145870984,0.0845292658,0.28943646,1.240923882,-0.124022804,0.123826191,0.704651475,1.507443905,-0.229581088,0.0290488172,0.312516749,1.550647616,-0.314879835,0.0292771216,0.723674655,1.613209724,-0.277661145,0.0441133156,0.296282351,1.659872413,-0.360971719,0.0407922976,0.686845422,1.614964485,-0.301010907,0.0769293979,0.326203257,1.658594728,-0.39424634,0.0681866705,0.674018979,1.574284196,-0.248181388,0.0789257735,0.339114159,1.613435745,-0.342886984,0.0693897903,0.625554204,1.558003902,-0.0403942987,0.000275553291,0.413910627,1.583350301,0.0440692194,0.000270895631,0.632012963,2.132105589,-0.0489566512,0.00015385951,0.440163374,2.151918888,0.0758456141,5.88E-05,0.639795661,2.643413067,0.345878601,2.29E-05,0.454203665,2.657260418,0.323610663,3.12E-06,0.645577133,2.724839926,0.363851577,2.50E-05,0.454152256,2.746975422,0.339190036,6.70E-06,0.614137232,2.81521821,-0.00104639342,4.68E-05,0.480859667,2.805694342,-0.0390830711,2.83E-05
0,0.513575971,0.558441937,-0.528454602,0.999966264,0.533986866,0.499218494,-0.493995577,0.999908984,0.545779169,0.501489818,-0.493674427,0.999919415,0.557680249,0.50495553,-0.49357453,0.999913335,0.494076014,0.501259446,-0.498604447,0.999922752,0.479461968,0.5043239,-0.498049498,0.999927163,0.467076451,0.507970214,-0.498190165,0.999921799,0.577900052,0.543856204,-0.283719867,0.999884725,0.450405657,0.541761696,-0.295939386,0.999924958,0.538103461,0.625726461,-0.449970782,0.999934018,0.486581951,0.626315057,-0.453213304,0.999945581,0.678619981,0.90139693,-0.173841864,0.998731792,0.345119953,0.899213135,-0.236677259,0.999355853,0.757465482,1.276583076,-0.126573235,0.0793746561,0.275357217,1.261361599,-0.131979793,0.122547373,0.734345734,1.592181921,-0.239230558,0.0224225279,0.277781963,1.582574964,-0.28298977,0.0387720093,0.751421034,1.696251392,-0.289244235,0.0385509729,0.278811008,1.685399532,-0.331172049,0.0569461696,0.712009788,1.690780163,-0.311969936,0.0670543686,0.309485912,1.683854222,-0.384493738,0.0941871926,0.699312031,1.647660017,-0.259343177,0.0704143941,0.323132813,1.641173124,-0.313895732,0.0938484967,0.616927862,1.635649443,-0.0181638747,0.000241263682,0.398188323,1.635831356,0.0220857877,0.000250275043,0.596266806,2.225296974,-0.00825519767,0.000109243752,0.399210393,2.223809242,0.0154283391,4.04E-05,0.58246547,2.757687807,0.391919315,1.28E-05,0.388744056,2.750770807,0.287139654,1.07E-06,0.584165275,2.847962141,0.410236895,1.62E-05,0.384048641,2.846410513,0.302279174,2.22E-06,0.554541349,2.931659698,0.055004172,3.37E-05,0.415142298,2.90717411,-0.090764299,1.44E-05
0,0.528299391,0.551362514,-0.531230927,0.999978602,0.549498856,0.495417863,-0.495506108,0.999944985,0.561634421,0.497683942,-0.495298624,0.999949813,0.572259307,0.501643717,-0.495305628,0.999943137,0.509542644,0.493978798,-0.501093507,0.999954104,0.49320358,0.495058537,-0.500546753,0.999958873,0.479671419,0.496990025,-0.500712156,0.999956727,0.59148401,0.54226017,-0.277146608,0.999927938,0.460262597,0.531966209,-0.293054104,0.999962151,0.54915458,0.622621357,-0.449803203,0.99996227,0.49791199,0.617606163,-0.454625189,0.999974549,0.678400159,0.901220679,-0.168826923,0.998791814,0.351800084,0.884483576,-0.234654829,0.999377072,0.762230039,1.279828429,-0.141343981,0.0908710286,0.26736182,1.248278022,-0.183748603,0.166020885,0.7538715,1.597557545,-0.288611233,0.0216390863,0.278202176,1.564345837,-0.401557028,0.0444164313,0.774406493,1.706731677,-0.347102225,0.0358916484,0.261947304,1.670431137,-0.462726891,0.0583209619,0.734613657,1.700398922,-0.375454098,0.0634167269,0.295414299,1.669975996,-0.514590025,0.0973686874,0.720559776,1.65544343,-0.311921805,0.0647082403,0.309208483,1.628154159,-0.433726639,0.0960643291,0.616432726,1.634355545,-0.0182946716,0.000335475459,0.398941576,1.633991838,0.0219246726,0.00034046435,0.601815701,2.226952314,-0.0184225477,0.0002334249,0.403329939,2.228876114,0.0153893456,7.75E-05,0.591634631,2.764239788,0.359204829,2.95E-05,0.396220386,2.758687973,0.264150292,2.77E-06,0.594195604,2.855821133,0.374914885,3.15E-05,0.391239136,2.854933977,0.276752651,5.16E-06,0.560857713,2.941414833,0.0202930495,5.41E-05,0.422634065,2.917607546,-0.122342661,2.66E-05
1,0.567956448,0.559311807,-0.45978269,0.999975026,0.587325692,0.506150246,-0.428855747,0.999934554,0.599675834,0.509088218,-0.428400606,0.999946713,0.612035632,0.5128299,-0.428405821,0.999934316,0.550556779,0.502585471,-0.440896124,0.999951661,0.53654474,0.502250373,-0.440356106,0.999960184,0.521209657,0.502601504,-0.440436035,0.9999547,0.623800457,0.548802853,-0.233601734,0.999910474,0.495938718,0.528160274,-0.289809853,0.999973238,0.586904407,0.628019989,-0.388405591,0.999947071,0.543459415,0.620896935,-0.402807534,0.99997586,0.677965939,0.883018136,-0.100888051,0.999197125,0.37675029,0.791888118,-0.248060733,0.999800205,0.730786085,1.253287792,-0.00148226751,0.0539978668,0.257181138,1.043052793,-0.190975711,0.225497201,0.731130958,1.524527788,-0.0982569382,0.0111244684,0.270834565,1.456688643,-0.309458613,0.0370882787,0.753987253,1.606758595,-0.140202403,0.0226193331,0.254538298,1.554990172,-0.355639815,0.054130584,0.727077842,1.602860808,-0.179038137,0.0382405706,0.293227822,1.562209725,-0.390865713,0.0815175846,0.711268544,1.569150329,-0.126353458,0.038794931,0.304811716,1.523951054,-0.330645651,0.0802291855,0.595369697,1.564644933,0.0179150887,0.000501843286,0.390587032,1.549693346,-0.0142431725,0.000656832417,0.573481143,2.136471033,0.00480860518,0.000355235446,0.401435524,2.131965876,-0.0295306444,0.00026538127,0.56578058,2.671571732,0.371428221,6.06E-05,0.383419245,2.652442455,0.224320218,5.91E-06,0.561162472,2.7624681,0.386861086,5.55E-05,0.372502774,2.739266634,0.235501051,5.17E-06,0.557422101,2.826784849,0.0551455542,0.000164987461,0.410211384,2.806959152,-0.158026621,3.16E-05
0,0.520058513,0.556068182,-0.492491722,0.999985158,0.542773664,0.496323407,-0.46113959,0.999957502,0.554536343,0.498505145,-0.46075663,0.999963939,0.565337777,0.502461851,-0.460682094,0.999960303,0.500291944,0.49824053,-0.46627298,0.999968052,0.486164004,0.500835359,-0.46572572,0.999970794,0.473677784,0.502907157,-0.465824425,0.999968052,0.583743811,0.54187119,-0.265881121,0.999947488,0.460022926,0.534933865,-0.282788128,0.99997741,0.545493782,0.627062321,-0.420892417,0.99997288,0.49271059,0.624972641,-0.42655921,0.99998337,0.677709103,0.902460754,-0.157214373,0.999383211,0.342522383,0.893369198,-0.236984044,0.999778807,0.753463745,1.278782368,-0.0699913576,0.0881697312,0.256199926,1.244946718,-0.124417171,0.236439511,0.720914304,1.598157763,-0.157538712,0.0121334177,0.280937523,1.581210971,-0.242020488,0.0389627218,0.733838737,1.698952436,-0.196898609,0.0231892746,0.264345586,1.68789804,-0.279166818,0.0527490787,0.698045015,1.690222502,-0.22081764,0.0405411087,0.296719968,1.68836987,-0.3249484,0.0815317258,0.686967015,1.64826405,-0.177041426,0.0419196337,0.311916053,1.645161271,-0.268126994,0.0814967826,0.619535625,1.628618836,-0.00620824378,0.000448265549,0.398908168,1.632951498,0.00978391711,0.000563605456,0.603348911,2.215563536,0.0049350718,0.000284939742,0.41755119,2.215521336,-0.0128560113,0.000178927105,0.596830904,2.748777866,0.402385712,4.20E-05,0.408688784,2.737944603,0.249199226,4.35E-06,0.595956206,2.841047525,0.417770088,4.45E-05,0.403455794,2.82923913,0.261704803,4.63E-06,0.579982102,2.914545298,0.0769504309,0.000108509768,0.437219054,2.899632454,-0.127491698,3.23E-05
0,0.516560376,0.547812879,-0.502972364,0.999989092,0.539901853,0.492474526,-0.471334994,0.999967754,0.551510692,0.494824648,-0.471033573,0.999972105,0.563068748,0.498546183,-0.47102803,0.99996984,0.496728003,0.492990106,-0.474487156,0.999974549,0.48290062,0.495756179,-0.473882586,0.999975979,0.469650567,0.499420047,-0.474018186,0.999974191,0.582828641,0.538410902,-0.271054089,0.999960661,0.456590086,0.532586396,-0.276208431,0.999980688,0.541705251,0.615809739,-0.427914381,0.999979973,0.488322735,0.613618851,-0.429791272,0.999986768,0.674714804,0.89993751,-0.164014667,0.999314368,0.340260834,0.886602104,-0.229566246,0.999755263,0.739407837,1.29375875,-0.0915220752,0.0805934072,0.253018171,1.234499335,-0.12825194,0.205590308,0.708456874,1.613421917,-0.193770796,0.0119932741,0.254039437,1.570694327,-0.257599622,0.0390622504,0.720940232,1.715379119,-0.238264918,0.0249560848,0.258418739,1.670387387,-0.301370978,0.0564026125,0.684817255,1.704856396,-0.265048742,0.0439345166,0.290427744,1.672810912,-0.349362135,0.0876002833,0.673923254,1.661628604,-0.214466304,0.0445750318,0.304987043,1.630427718,-0.28579396,0.0869257301,0.605310559,1.629744291,-0.00883587636,0.000384328247,0.386685133,1.628471375,0.0125112785,0.000467852078,0.583760679,2.221191883,-0.0234034453,0.000265241804,0.393119097,2.217976093,-0.0149721932,0.000155757676,0.574582219,2.759603024,0.358737946,3.76E-05,0.384395391,2.74856329,0.232268721,3.66E-06,0.574809968,2.850801945,0.374843657,3.87E-05,0.379139364,2.839820623,0.245152682,3.75E-06,0.552961349,2.928230762,0.0198052283,9.82E-05,0.412462533,2.908608913,-0.148233101,3.08E-05
1,0.457474947,0.557120562,-0.534635842,0.999940753,0.478374064,0.496358782,-0.50973326,0.999822736,0.493544191,0.496409893,-0.509540856,0.999868035,0.50667417,0.49814117,-0.509458542,0.999845088,0.436425745,0.502782106,-0.50353545,0.99982214,0.424669027,0.50525713,-0.502816081,0.99984473,0.414827526,0.507945657,-0.50287807,0.99979955,0.5263623,0.529013038,-0.303749979,0.999847174,0.407418579,0.540753722,-0.259949207,0.99981612,0.488799036,0.619623721,-0.454625696,0.99990648,0.436177731,0.626254022,-0.442530155,0.999885917,0.644215226,0.806779027,-0.209263325,0.999095023,0.326869518,0.900218904,-0.159704059,0.999160409,0.72643292,1.19656527,-0.167946532,0.103094034,0.282719254,1.240902424,-0.0566795766,0.112715311,0.700949669,1.523907781,-0.237920612,0.0343478881,0.304434717,1.55729866,-0.225173399,0.0305785742,0.719418705,1.629588485,-0.28235665,0.0514363684,0.288736373,1.66998446,-0.272267759,0.0456963256,0.680879056,1.633548141,-0.3089104,0.0877835453,0.317347646,1.670419693,-0.322217673,0.0746676326,0.668943763,1.592490792,-0.256665915,0.0910533741,0.330336899,1.624041915,-0.256437927,0.076664634,0.61970818,1.564958334,-0.0502534993,0.000207783451,0.403303862,1.588526249,0.0540524647,0.000214844957,0.625274837,2.155036211,-0.0677566081,8.74E-05,0.428337753,2.174556494,0.100858107,4.57E-05,0.634020209,2.681937933,0.317826122,1.66E-05,0.44257912,2.698279858,0.392945468,2.09E-06,0.640307903,2.765909195,0.334280699,1.80E-05,0.44295764,2.789336205,0.411790699,4.71E-06,0.607967556,2.856013775,-0.0441502482,3.64E-05,0.471195787,2.851840258,0.00293005863,2.28E-05
0,0.487643003,0.663699389,-0.495411634,0.999970555,0.507327199,0.609424829,-0.464556456,0.999911547,0.519163966,0.609370828,-0.464237511,0.999938488,0.527695537,0.610438943,-0.464186907,0.999913275,0.472029388,0.60943532,-0.474109173,0.999931991,0.460280746,0.609209538,-0.473551929,0.999952853,0.449670374,0.610780656,-0.473653555,0.999938428,0.541405261,0.636072695,-0.264363378,0.999898314,0.436879724,0.63740474,-0.295017481,0.999959528,0.510281742,0.718923867,-0.418415248,0.99993366,0.464277118,0.719922125,-0.428059042,0.999960542,0.623867869,0.939522386,-0.121206835,0.998874187,0.32914573,0.92106694,-0.238958791,0.999670327,0.672928631,1.273126006,-9.89E-05,0.0487610325,0.24843362,1.246540666,-0.152222306,0.187401384,0.668394268,1.554223776,-0.0830517262,0.0100591285,0.279797018,1.535588622,-0.255987346,0.0352020897,0.686728895,1.64519608,-0.117417887,0.0192463193,0.264675558,1.627420545,-0.301138639,0.0488813333,0.660494626,1.650653362,-0.156556278,0.033299122,0.296690881,1.635452151,-0.342773139,0.0768700242,0.647519886,1.611578226,-0.10939908,0.0338146314,0.307516664,1.594130278,-0.277529269,0.0735552162,0.565060139,1.580242395,0.00510660466,0.000293317193,0.368744075,1.579656601,-0.00201398483,0.000325721747,0.550197363,2.117355108,-0.0546855628,0.000257462671,0.383232415,2.12350893,-0.051971823,0.0001375297,0.547319531,2.625300884,0.249200508,7.35E-05,0.376187444,2.624142647,0.12661764,6.01E-06,0.547422528,2.711385965,0.260025233,8.55E-05,0.36997807,2.711214542,0.131716743,8.63E-06,0.528468251,2.773634434,-0.0764231831,0.00017986045,0.400978893,2.760932446,-0.241328284,4.92E-05
0,0.532118261,0.53263557,-0.518805861,0.99997735,0.555119634,0.476723611,-0.48257035,0.999943316,0.567538321,0.478503376,-0.48233375,0.999951005,0.580361545,0.481918633,-0.482407719,0.999945581,0.51229769,0.475891531,-0.490950972,0.999952435,0.493857712,0.476543605,-0.49034816,0.999955893,0.478229344,0.477909595,-0.490481049,0.999952793,0.602221847,0.525251925,-0.262541413,0.999933779,0.458989382,0.51697135,-0.289771855,0.999961853,0.5543015,0.608259439,-0.435456455,0.999961615,0.502515912,0.605644524,-0.443708092,0.999973536,0.687475324,0.883311033,-0.15619579,0.999116659,0.345580518,0.87806499,-0.230272338,0.999480188,0.756631196,1.281259775,-0.112828337,0.093934007,0.268777609,1.251501799,-0.135354027,0.188652903,0.73158443,1.595212698,-0.234372467,0.0139583917,0.28025052,1.576725721,-0.287963688,0.0337950848,0.745788217,1.707217574,-0.28601113,0.0216311328,0.286856323,1.667847037,-0.334494293,0.0410898626,0.704723716,1.695226431,-0.307366997,0.0385592356,0.318215519,1.664226055,-0.381907225,0.0668278486,0.694880307,1.648698211,-0.253750622,0.0422058366,0.328580171,1.620980144,-0.31541872,0.0700722411,0.618575931,1.624304414,-0.0157730374,0.000449885352,0.397526264,1.622904778,0.0196400248,0.000466963276,0.599484801,2.217526674,-0.00609554071,0.000192294625,0.397777081,2.212151051,0.0172238797,8.33E-05,0.582256079,2.745602608,0.373280734,2.22E-05,0.38699162,2.736798525,0.253435671,2.74E-06,0.583408177,2.838674307,0.390234411,3.06E-05,0.380451173,2.834443092,0.265269518,4.59E-06,0.553288758,2.925635815,0.040248204,4.71E-05,0.415518343,2.902568579,-0.119525552,2.27E-05
